     Value-Weight Local  Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
Date      Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  19.17  21.66  13.80  16.62  17.59  17.05  15.38  17.34  17.85  19.74
197502   0.52   2.78  -0.71   6.56  -1.86   2.93  -1.87   6.94  -1.46   3.47
197503  -2.04  -0.46  -1.79   2.75  -2.67  -0.33  -2.21   2.22  -2.91 -12.14
197504  -0.28  -1.00  -0.42   2.82  -0.97  -2.27  -1.35   2.64  -0.57 -14.34
197505   9.72   3.65  11.52  10.48  10.30   6.46   9.19   9.51  12.40   1.82
197506  -1.88  -2.13  -4.02  -3.06  -1.13  -3.51  -3.14  -2.39  -1.94  -1.98
197507  -1.78  -3.37  -1.77  -3.01  -1.59   0.71  -2.41  -3.57  -1.35  16.20
197508  -0.70  -0.78  -0.31   1.69  -0.23  -3.04   1.05   1.31  -1.22  -0.68
197509   8.53  14.18   8.51   7.86   7.33  10.59  10.36   9.75   6.05  15.23
197510   1.80   4.19   1.22  -0.54   0.01   6.17   2.66  -2.17   1.72  -2.02
197511   8.06  11.43  10.07   7.08   5.13  10.06   7.41   8.48   7.77  11.55
197512   3.61   6.42   3.58   6.73   2.61   5.26   2.42   6.69   1.64  35.01
197601   2.21   9.04  -0.18   7.21   0.23   2.32   3.23  10.51   0.10  -9.01
197602   1.76  -0.13   0.68   3.78   1.69   3.93  -0.26   2.66   1.83 -12.43
197603  -1.31  -6.58   1.33  -4.32   0.31  -1.48  -0.64  -6.57   1.13  -3.58
197604   3.73  -0.27   4.74   6.20   4.66   5.63   3.12   4.12   5.62   0.72
197605   2.53   3.45   3.24   0.23   2.57   3.25   2.31   1.30   4.68  -0.51
197606   0.57   2.98  -1.34   2.12   1.30   1.72  -1.55   3.30  -1.93  -5.23
197607  10.51   8.11  13.92   9.96   9.46  10.31   9.24  10.00  15.76  19.24
197608  -0.43  -4.00  -2.19   1.78   0.54  -1.18   0.09  -3.06  -3.59   4.84
197609  -7.13 -10.06  -6.68  -6.16  -9.51  -6.49  -7.95  -5.97  -6.49   4.39
197610  -4.95  -4.10  -6.54  -3.90  -4.22  -5.64  -3.55  -1.22  -5.45  -8.77
197611  -3.75  -5.72  -3.11  -2.02  -3.19  -3.58  -4.88  -5.22  -3.83  -8.53
197612   4.70   1.46   6.08   3.41   5.00   8.68   2.31   3.11   6.26   7.04
197701   2.51   3.76   3.34   1.08   2.51   4.06   3.95   4.08   2.34   8.15
197702  -3.45  -2.06  -2.24  -0.06  -4.33  -1.29  -3.64  -1.64  -4.29  -1.97
197703   5.39   1.85   7.33   5.48   7.31   2.54   7.64  -0.45   6.89  -8.51
197704  -0.72   0.79  -0.65   1.15  -0.80   0.44  -0.32  -1.27  -0.38 -11.49
197705   4.78   8.41   4.05   8.28   3.65  10.15   3.52   8.29   2.97   1.11
197706  -0.76   0.03  -0.58   2.30  -2.30   0.92  -1.70   1.20  -2.28   1.48
197707  -5.94  -0.29  -7.07  -1.53  -8.95  -1.35  -5.58   1.42  -8.94  -2.89
197708  -3.39  -2.51  -5.46  -4.18  -2.31  -2.40  -3.73  -1.38  -3.24  -8.42
197709  -0.30   5.64  -1.36   5.85  -3.29   6.66  -2.92   4.48  -3.49  -2.38
197710   5.29   6.53   3.60   7.24   3.58   9.01   3.28   8.51   3.32   2.50
197711  -2.63  -0.37  -3.27  -2.03  -4.16  -1.01  -3.45  -0.33  -3.72   9.68
197712   7.37  10.89   6.68   8.62   5.85  12.73   6.02  14.09   4.85   3.62
197801  -3.96  -0.84  -4.88   0.48  -4.97  -5.00  -3.31  -1.11  -4.19  -7.99
197802  -5.16  -4.21  -5.65  -3.73  -4.59  -4.64  -6.46  -3.93  -7.73  -8.62
197803   4.91   3.24   4.89   1.09   8.67   7.89   5.28   5.44   7.15   0.94
197804   6.96   5.88   6.15   5.25   7.41   8.78   5.24   4.80   7.07   5.94
197805   5.48   4.56   5.51   3.16   5.34   7.40   4.42   5.72   5.91   5.66
197806  -1.56  -0.30  -2.79  -1.23  -1.21  -2.53  -1.21  -2.04  -1.49  -2.68
197807   6.25   3.17   7.39   1.51   8.16  11.06   4.65   5.40   8.36   8.88
197808   6.49   3.95   7.88   7.63   4.35   9.91   3.07   4.71   9.24   3.36
197809   3.41   4.68   0.17   4.01   2.92   3.73   0.49   2.49   1.17   7.23
197810  -6.70  -4.42  -5.40  -4.64  -5.55  -9.18  -3.87  -3.73  -7.11 -11.19
197811  -0.69  -1.98  -1.96  -2.10   0.79   2.57  -1.04  -3.32  -0.65 -10.87
197812   4.78   3.79   4.52   5.28   3.98   7.93   2.23   5.32   4.05   8.50
197901   5.39   4.60   6.79   2.50   6.97   4.28   7.21   6.99   6.33  -2.21
197902   3.71   1.92   3.70   0.67   6.76  -1.24   4.42   1.72   6.14  13.12
197903   2.15  -0.79   1.73  -1.93   4.15  -0.94   3.07  -0.80   4.26   8.34
197904  -1.54  -1.73  -1.69  -2.62  -0.49  -1.99  -1.62  -1.39  -0.51  -7.18
197905   2.91   4.65   2.76   6.70   0.42   3.98   2.06   1.40   1.39   5.96
197906  -2.37  -2.97  -3.16  -2.32  -3.15  -1.35  -3.47  -1.74  -2.95   4.39
197907   2.70   2.40   5.44   0.18   3.98   3.55   5.25   3.58   3.50  14.13
197908  11.82  12.53  12.53   8.56  14.12   7.28  13.76  11.03  13.41  23.37
197909   6.67   4.00   9.22   2.91   5.94   2.79   9.68   4.03   6.93  25.82
197910   1.15   3.69   1.65  -1.10  -1.23   2.64  -0.48   2.30  -1.94  32.04
197911  -2.20  -1.93  -3.91   1.66  -2.09   2.36  -4.80   2.36  -3.36  -3.35
197912  10.83   2.25  16.02   1.69  15.56   1.35  17.27  -0.62  16.33  15.59
198001  18.83   9.88  23.58   9.34  23.21   9.50  23.72   8.39  22.37  26.30
198002   3.49   1.47   4.68   3.38   4.99   4.11   4.09   3.72   4.34  -7.45
198003 -16.77  -6.76 -22.32  -5.72 -21.54  -4.84 -20.96  -7.79 -21.80 -21.35
198004   3.86  -1.33   5.87   0.12   5.20   0.06   4.66   0.01   5.99  17.25
198005  11.51   4.94  13.76   2.94  14.57   5.39  13.74   4.21  15.08  23.99
198006   5.74   3.40   6.75   3.12   6.49   3.70   7.01   1.52   6.15  11.31
198007   0.46   5.12  -0.79   4.59  -0.70   6.60  -0.84   5.94  -0.48 -10.01
198008   4.72   2.87   6.11   4.52   5.28   2.95   4.38   5.32   6.08   5.02
198009   4.90   3.35   6.25   1.26   5.58   6.45   6.51   4.64   5.41  10.10
198010   4.68   0.56   7.31  -2.01   6.74  -0.60   6.14  -3.25   7.11  12.80
198011  -1.07   7.24  -4.74   4.86  -3.77   2.10  -2.54   3.89  -3.43  -2.70
198012  -1.86   4.75  -4.73   3.54  -3.39   4.17  -3.99   5.21  -3.86 -13.30
198101  -9.11  -0.23 -13.22   2.47 -13.75   2.22 -11.35  -1.43 -12.62  -9.24
198102  -1.78   3.88  -3.17   4.24  -4.41   1.67  -0.14   7.39  -3.68 -17.05
198103   8.65   5.31  11.16   6.46  10.21   4.68  10.72   2.66  11.55   3.31
198104   0.30   3.42  -1.41   3.67   1.17   2.22  -1.16   3.87   0.09 -22.57
198105   1.18   6.38   0.68   4.05   0.90  -1.91  -0.78   3.07   0.34   0.21
198106  -2.09   2.70  -4.72   2.92  -1.54  -0.26  -2.47   2.01  -1.56 -20.81
198107  -9.62  -3.77 -11.80  -1.66 -11.14  -7.90 -11.77  -4.76 -11.70 -15.52
198108  -0.38  -1.50   0.81   0.96  -1.11  -1.12  -0.99  -0.01  -1.69  -8.83
198109  -8.38  -3.00 -10.41  -4.07 -10.79  -1.49 -10.16  -3.03 -11.89 -19.12
198110  -4.88  -1.45  -9.79   1.03  -8.65   0.88  -5.66  -1.38  -5.78 -11.70
198111   8.42   8.03   5.78  11.28   5.16   8.31   5.67   8.42   5.68  16.00
198112   0.31   0.02   0.84   1.15  -1.07   2.60   3.71   3.30   0.49   2.41
198201  -8.58  -8.11  -7.22  -8.05  -9.30  -7.35  -7.95  -6.62  -9.88 -15.37
198202  -9.26  -5.57 -13.08  -6.43 -10.71  -4.21 -13.32  -5.96 -11.54 -23.00
198203  -5.23  -6.96  -5.01  -2.86  -8.26  -4.42  -8.47  -1.97  -8.53  -9.29
198204  11.04   9.95  14.47   9.19  13.75  11.53  14.91   6.84  11.09  12.21
198205   0.20   0.62  -1.03  -0.36   1.38   2.20  -0.58   0.14   0.02  -3.39
198206  -6.87  -5.76  -5.50  -4.37  -8.10  -6.21  -6.43  -5.99  -7.52 -13.97
