Effective date 	S&P/ASX 200 Energy (Sector)   (31-MAR-2000)   (TR)	S&P/ASX 200 Energy (Sector)
30/04/2008	100336.89	16379.29
1/05/2008	102819.97	16784.63
2/05/2008	104072.11	16989.04
5/05/2008	107198.38	17499.38
6/05/2008	107795.32	17596.82
7/05/2008	107241.95	17506.49
8/05/2008	108581.63	17725.18
9/05/2008	109206.37	17827.17
12/05/2008	109004.87	17794.27
13/05/2008	110787.4	18085.26
14/05/2008	110964.59	18114.18
15/05/2008	113028.46	18451.1
16/05/2008	114011.27	18611.53
19/05/2008	120050.87	19597.45
20/05/2008	118385.6	19325.61
21/05/2008	118825.33	19397.39
22/05/2008	121429.25	19822.47
23/05/2008	118191.15	19293.87
26/05/2008	115642.66	18877.85
27/05/2008	116614.56	19036.5
28/05/2008	114167.31	18637.01
29/05/2008	120102.82	19605.94
30/05/2008	120135.07	19611.2
2/06/2008	122734.28	20035.5
3/06/2008	122446.95	19988.6
4/06/2008	119884.04	19570.22
5/06/2008	113553.09	18536.74
6/06/2008	115525.38	18858.7
10/06/2008	115413.01	18840.36
11/06/2008	115452.59	18846.82
12/06/2008	115556.27	18863.74
13/06/2008	117386.14	19162.46
16/06/2008	115614.1	18873.18
17/06/2008	117170.25	19127.21
18/06/2008	118283.36	19308.92
19/06/2008	120759.84	19713.19
20/06/2008	116757.65	19059.86
23/06/2008	118284.52	19309.11
24/06/2008	121150.73	19777
25/06/2008	121225.53	19786.32
26/06/2008	121213.21	19784.31
27/06/2008	121821.83	19883.65
30/06/2008	122083.8	19926.41
1/07/2008	118963.94	19417.19
2/07/2008	119461.78	19498.44
3/07/2008	114506.95	18689.72
4/07/2008	114084.27	18620.73
7/07/2008	112106.12	18297.86
8/07/2008	110538.99	18042.07
9/07/2008	110585.99	18049.74
10/07/2008	108947.35	17782.29
11/07/2008	111969.19	18275.51
14/07/2008	111952.86	18272.84
15/07/2008	112444.96	18353.16
16/07/2008	110890.71	18099.48
17/07/2008	109146.71	17814.83
18/07/2008	104585.03	17070.27
21/07/2008	105773.39	17264.24
22/07/2008	106961.84	17458.21
23/07/2008	105590.59	17234.4
24/07/2008	102612.15	16748.26
25/07/2008	102404.46	16714.36
28/07/2008	101609.41	16584.6
29/07/2008	102570.47	16741.46
30/07/2008	103194.31	16843.28
31/07/2008	105327.85	17191.52
1/08/2008	103817.46	16944.99
4/08/2008	104833.72	17110.86
5/08/2008	99976.46	16318.07
6/08/2008	99237.97	16197.53
7/08/2008	99316.05	16210.27
8/08/2008	100989.16	16483.36
11/08/2008	100043.77	16329.05
12/08/2008	98805.68	16126.97
13/08/2008	98845.93	16133.54
14/08/2008	103582.23	16906.6
15/08/2008	102860.72	16788.83
18/08/2008	104953.06	17130.34
19/08/2008	102185.66	16678.65
20/08/2008	103898.48	16957.1
21/08/2008	104581.56	17068.59
22/08/2008	107674.88	17573.44
25/08/2008	107590	17559.59
26/08/2008	107573.61	17556.91
27/08/2008	109703.05	17876.38
28/08/2008	112945.8	18404.79
29/08/2008	114783.83	18704.3
1/09/2008	114282.01	18534.17
2/09/2008	111422.82	18070.47
3/09/2008	107500.64	17410
4/09/2008	105169.64	17032.49
5/09/2008	103067.61	16692.06
8/09/2008	110685.16	17907.79
9/09/2008	108228.91	17510.4
10/09/2008	104674.85	16935.38
11/09/2008	103160.83	16690.43
12/09/2008	104855.29	16964.58
15/09/2008	103759.06	16787.22
16/09/2008	100001.02	16179.2
17/09/2008	100655.7	16285.12
18/09/2008	99054.94	16013.9
19/09/2008	102849.2	16627.31
22/09/2008	106037.93	17132.96
23/09/2008	105626.99	17066.56
24/09/2008	107918.64	17436.84
25/09/2008	108357.86	17507.8
26/09/2008	107233.38	17326.12
29/09/2008	105649.57	17068.06
30/09/2008	100140.62	16178.07
1/10/2008	102558.45	16568.68
2/10/2008	100773.5	16280.31
3/10/2008	97768.97	15794.92
6/10/2008	92838.24	14998.35
7/10/2008	90712.65	14654.95
8/10/2008	84310.26	13620.62
9/10/2008	80627.19	13016.13
10/10/2008	71098.75	11477.89
13/10/2008	72572.61	11715.83
14/10/2008	79570.21	12845.49
15/10/2008	78189.1	12622.53
16/10/2008	71105.07	11478.91
17/10/2008	69547.31	11227.44
20/10/2008	73467.28	11860.26
21/10/2008	78468.43	12667.63
22/10/2008	76654.18	12374.74
23/10/2008	73615.56	11884.2
24/10/2008	72873.9	11764.47
27/10/2008	70274.43	11344.82
28/10/2008	72005.71	11624.31
29/10/2008	74787.82	12073.44
30/10/2008	80936.46	13066.05
31/10/2008	80619.02	13014.81
3/11/2008	83504.29	13480.59
4/11/2008	85009.34	13723.56
5/11/2008	88099.32	14176.95
6/11/2008	84689.58	13628.25
7/11/2008	81990.6	13193.93
10/11/2008	84107.95	13534.66
11/11/2008	81834.64	13168.84
12/11/2008	81689.09	13145.41
13/11/2008	77459.81	12464.84
14/11/2008	79034.87	12718.3
17/11/2008	78408.7	12617.53
18/11/2008	75538.88	12155.72
19/11/2008	73949.5	11899.96
20/11/2008	69476.59	11180.18
21/11/2008	67506.91	10863.22
24/11/2008	69183.68	11133.04
25/11/2008	73937.06	11897.96
26/11/2008	71460.17	11499.38
27/11/2008	73995.37	11907.34
28/11/2008	77156.95	12416.1
1/12/2008	75808.65	12199.13
2/12/2008	72237.79	11624.51
3/12/2008	71435.32	11495.38
4/12/2008	70894.43	11408.34
5/12/2008	68511.74	11024.91
8/12/2008	72475.3	11662.73
9/12/2008	72718.55	11701.87
10/12/2008	75035.65	12074.74
11/12/2008	75156.56	12094.2
12/12/2008	74101.39	11924.4
15/12/2008	78227.43	12588.36
16/12/2008	75505.78	12150.4
17/12/2008	77787.57	12517.58
18/12/2008	75623.53	12169.34
19/12/2008	73295.63	11794.74
22/12/2008	71290.07	11472
23/12/2008	71309.61	11475.15
24/12/2008	73131.04	11768.25
29/12/2008	75020.95	12072.38
30/12/2008	76733.83	12348.01
31/12/2008	78834.31	12686.02
2/01/2009	79033.66	12718.1
5/01/2009	79258.65	12754.31
6/01/2009	80643.99	12977.24
7/01/2009	81893.66	13178.33
8/01/2009	78497.94	12631.89
9/01/2009	78157.35	12577.09
12/01/2009	76634.69	12332.06
13/01/2009	74548.46	11996.34
14/01/2009	75934.69	12219.42
15/01/2009	73166.56	11773.97
16/01/2009	73509.79	11829.2
19/01/2009	75226.29	12105.42
20/01/2009	71990.97	11584.79
21/01/2009	72872.06	11726.58
22/01/2009	72784.08	11712.42
23/01/2009	70115.58	11283
27/01/2009	72269.8	11629.66
28/01/2009	72385.06	11648.21
29/01/2009	73495.33	11826.87
30/01/2009	74176.71	11936.52
2/02/2009	73268.76	11790.41
3/02/2009	72259.58	11628.02
4/02/2009	70568.68	11355.92
5/02/2009	70700.4	11377.11
6/02/2009	70750.6	11385.19
9/02/2009	71482.34	11500.14
10/02/2009	71867.45	11562.09
11/02/2009	72281.53	11628.71
12/02/2009	72623.93	11683.8
13/02/2009	73010.61	11746.01
16/02/2009	73095.73	11759.7
17/02/2009	72421.33	11651.2
18/02/2009	71425.4	11490.98
19/02/2009	72172.88	11611.23
20/02/2009	70951.59	11414.75
23/02/2009	70337.83	11261.14
24/02/2009	71643.84	11470.23
25/02/2009	72592.66	11596.86
26/02/2009	74688.21	11931.63
27/02/2009	76174.27	12169.03
2/03/2009	74115.46	11840.13
3/03/2009	73074.46	11626.17
4/03/2009	72316.48	11489.88
5/03/2009	73650.61	11701.85
6/03/2009	75234.37	11952.9
9/03/2009	76600.03	12169.87
10/03/2009	78173.38	12419.84
11/03/2009	78851.39	12527.56
12/03/2009	77287.24	12279.05
13/03/2009	79575.81	12642.65
16/03/2009	76970.28	12228.69
17/03/2009	79458.17	12623.96
18/03/2009	78970.73	12546.52
19/03/2009	79306.13	12599.8
20/03/2009	79782.87	12675.55
23/03/2009	81890.11	13010.33
24/03/2009	83432.25	13255.34
25/03/2009	85204.62	13535.28
26/03/2009	87231.2	13851.63
27/03/2009	86647.57	13758.95
30/03/2009	84048.27	13346.2
31/03/2009	83003.88	13180.36
1/04/2009	83784.15	13304.26
2/04/2009	84946.95	13488.91
3/04/2009	86258.58	13697.18
6/04/2009	86491.07	13734.1
7/04/2009	85250.82	13537.16
8/04/2009	83107.59	13196.83
9/04/2009	84976.74	13482.34
14/04/2009	85784.86	13610.55
15/04/2009	85467.46	13560.19
16/04/2009	86058.34	13653.94
17/04/2009	85138.55	13508.01
20/04/2009	86121.57	13663.97
21/04/2009	83706.03	13280.73
22/04/2009	83759.55	13289.22
23/04/2009	85341.91	13540.27
24/04/2009	84999.13	13485.89
27/04/2009	85840.41	13619.36
28/04/2009	85020.84	13489.33
29/04/2009	85915.93	13631.35
30/04/2009	86968	13798.27
1/05/2009	87323.97	13854.75
4/05/2009	91692.89	14547.92
5/05/2009	92119.13	14615.54
